PDBName,dock_1,dock_2,dock_3,dock_4,dock_5,dock_6,dock_7,dock_8,dock_9,dock_10,dock_11,dock_12,dock_13,dock_14,dock_15,dock_16,dock_17,dock_18,dock_19,dock_20,dock_21,dock_22,dock_23,dock_24,dock_25,dock_26,dock_27,dock_28,dock_29,dock_30,dock_31
AbAMP21.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP22.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP23.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP24.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP25.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP26.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP27.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP28.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP29.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
AbAMP30.pdb,OMP 33-36,OMPW,fimH,LptD,FBN,cat-1,oprD,OXA_51_like,adeA,adeC,adeR,adeS,ampC,baeR,baeS,bfmR,bfmS,blaOXA-33,cpaA,gacA,gacS,intl-1,omp38,OXA51,smpA,strA,strB,sul1,fic,qnR,cm1A
