1,OMP_33-36_AMP1.pdb,OMP_33-36_AMP1.JPG,2.848,15.68126,-4.6,4.50E-04,-0.48
2,OMP_33-36_AMP2.pdb,OMP_33-36_AMP2.JPG,3.634,9.38607,-3.8,1.50E-03,-3.11
3,OMP_33-36_AMP3.pdb,OMP_33-36_AMP3.JPG,2.751,19.58679,-6.7,1.20E-05,-3.38
4,OMP_33-36_AMP4.pdb,OMP_33-36_AMP4.JPG,0.24,10.06011,-12.1,1.30E-09,0.1
5,OMP_33-36_AMP5.pdb,OMP_33-36_AMP5.JPG,1.084,15.21508,-6,4.10E-05,-5.24
6,OMP_33-36_AMP6.pdb,OMP_33-36_AMP6.JPG,0.325,14.17089,-4.2,7.90E-04,-2.17
7,OMP_33-36_AMP7.pdb,OMP_33-36_AMP7.JPG,2.537,22.64856,-5.9,4.50E-05,-1.79
8,OMP_33-36_AMP8.pdb,OMP_33-36_AMP8.JPG,0.562,17.66793,-4.5,5.40E-04,-2.95
9,OMP_33-36_AMP9.pdb,OMP_33-36_AMP9.JPG,4.59,16.49645,-5.9,4.40E-05,-2.51
10,OMP_33-36_AMP10.pdb,OMP_33-36_AMP10.JPG,0.151,15.52252,-4.4,6.30E-04,-4.56
11,OMP_33-36_AMP11.pdb,OMP_33-36_AMP11.JPG,0.562,16.16111,-5.8,5.40E-05,-5.78
12,OMP_33-36_AMP12.pdb,OMP_33-36_AMP12.JPG,0.71,12.72389,-9.1,2.20E-07,-1.24
13,OMP_33-36_AMP13.pdb,OMP_33-36_AMP13.JPG,0.51,19.49711,-9.7,7.60E-08,-3.83
14,OMP_33-36_AMP14.pdb,OMP_33-36_AMP14.JPG,0.897,19.39858,-5.5,9.70E-05,-1.59
15,OMP_33-36_AMP15.pdb,OMP_33-36_AMP15.JPG,5.324,18.57227,-5.5,9.10E-05,-1.25
16,OMP_33-36_AMP16.pdb,OMP_33-36_AMP16.JPG,0.29,13.44193,-4.5,5.30E-04,-3.17
17,OMP_33-36_AMP17.pdb,OMP_33-36_AMP17.JPG,5.481,17.24814,-5.3,1.20E-04,-3.85
18,OMP_33-36_AMP18.pdb,OMP_33-36_AMP18.JPG,0.652,16.93248,-5.4,1.20E-05,-4.01
19,OMP_33-36_AMP19.pdb,OMP_33-36_AMP19.JPG,3.64,10.92228,-6.3,2.30E-05,-3.01
20,OMP_33-36_AMP20.pdb,OMP_33-36_AMP20.JPG,0.098,13.75382,-6.2,2.90E-05,-0.85
21,OMP_33-36_AMP21.pdb,OMP_33-36_AMP21.JPG,0.484,12.66153,-6.3,2.90E-06,-0.3
22,OMP_33-36_AMP22.pdb,OMP_33-36_AMP22.JPG,0.119,10.18879,-4.8,2.80E-04,-5.5
23,OMP_33-36_AMP23.pdb,OMP_33-36_AMP23.JPG,0.438,14.48786,-6,3.70E-05,-0.91
24,OMP_33-36_AMP24.pdb,OMP_33-36_AMP24.JPG,0.442,15.15268,-6.8,9.70E-06,-2.55
25,OMP_33-36_AMP25.pdb,OMP_33-36_AMP25.JPG,1.168,10.13778,-6.9,9.70E-07,-4.34
26,OMP_33-36_AMP26.pdb,OMP_33-36_AMP26.JPG,5.494,21.34174,-6.1,9.70E-08,-3.66
27,OMP_33-36_AMP27.pdb,OMP_33-36_AMP27.JPG,0.399,10.5047,-4.3,6.90E-04,-5.53
28,OMP_33-36_AMP28.pdb,OMP_33-36_AMP28.JPG,0.118,20.78871,-4.8,3.10E-04,-4.63
29,OMP_33-36_AMP29.pdb,OMP_33-36_AMP29.JPG,0.905,14.88824,-4.4,6.10E-04,-3.73
30,OMP_33-36_AMP30.pdb,OMP_33-36_AMP30.JPG,0.335,19.32366,-6.2,2.70E-05,-4.67
31,OMP_33-36_AMP31.pdb,OMP_33-36_AMP31.JPG,1.996,14.25236,-4.7,3.50E-04,
32,OMP_33-36_AMP32.pdb,OMP_33-36_AMP32.JPG,0.38,14.80199,-5.5,9.80E-05,
33,OMP_33-36_AMP33.pdb,OMP_33-36_AMP33.JPG,0.208,13.7716,-9.7,7.50E-08,
34,OMP_33-36_AMP34.pdb,OMP_33-36_AMP34.JPG,0.372,15.02343,-5.1,1.90E-04,
35,OMP_33-36_AMP35.pdb,OMP_33-36_AMP35.JPG,0.279,6.38764,-5,2.00E-04,
36,OMP_33-36_AMP36.pdb,OMP_33-36_AMP36.JPG,0.407,17.7108,-5,2.00E-04,
37,OMP_33-36_AMP37.pdb,OMP_33-36_AMP37.JPG,0.417,20.53049,-10.2,3.40E-08,
38,OMP_33-36_AMP38.pdb,OMP_33-36_AMP38.JPG,0.61,15.59357,-5,2.10E-04,
39,OMP_33-36_AMP39.pdb,OMP_33-36_AMP39.JPG,0.318,12.20004,-6.2,2.90E-05,
40,OMP_33-36_AMP40.pdb,OMP_33-36_AMP40.JPG,4.389,14.75082,-4.6,4.20E-04,
41,OMP_33-36_AMP41.pdb,OMP_33-36_AMP41.JPG,2.879,11.04034,-8.4,6.90E-07,
42,OMP_33-36_AMP42.pdb,OMP_33-36_AMP42.JPG,0.638,20.62431,-5.8,5.20E-05,
43,OMP_33-36_AMP43.pdb,OMP_33-36_AMP43.JPG,0.394,10.48341,-6.7,1.20E-05,
44,OMP_33-36_AMP44.pdb,OMP_33-36_AMP44.JPG,0.873,13.91122,-4,1.10E-03,
45,OMP_33-36_AMP45.pdb,OMP_33-36_AMP45.JPG,1.653,20.41554,-4.1,1.10E-04,
