Dock,Image,Attractive_VdW,Global_Energy,Repulsive_VdW,ACE,HB
adeA_AMP25.pdb,adeA_AMP25.JPG,-14.29,-21.1,7.64,7.05,-4
adeA_AMP26.pdb,adeA_AMP26.JPG,-16.54,-21.28,31.58,-4.85,-3.29
adeA_AMP27.pdb,adeA_AMP27.JPG,-4.35,-21.18,12.89,8.98,-6.49
adeA_AMP28.pdb,adeA_AMP28.JPG,-4.18,-4.21,0,-0.11,0
adeA_AMP29.pdb,adeA_AMP29.JPG,-6.23,-22.43,9.84,5.44,-8.2
adeA_AMP30.pdb,adeA_AMP30.JPG,-18.61,-17.13,4.65,7.73,-1.97
adeC_AMP1.pdb,adeC_AMP1.JPG,-34.9,-21.08,5.54,-4.01,0
adeC_AMP2.pdb,adeC_AMP2.JPG,-33.12,-30.39,4.99,9.67,-3.09
adeC_AMP3.pdb,adeC_AMP3.JPG,-37.46,-24.28,15.98,-3.52,0
adeC_AMP4.pdb,adeC_AMP4.JPG,-30.6,-31.06,23.16,1.71,-0.34
adeC_AMP5.pdb,adeC_AMP5.JPG,-22.64,-24.33,9.44,-0.06,-2.49
adeC_AMP6.pdb,adeC_AMP6.JPG,-13.74,-38.01,55.08,-7.15,-4.09
adeC_AMP7.pdb,adeC_AMP7.JPG,1.79,-0.31,0,0.91,-0.2
adeC_AMP8.pdb,adeC_AMP8.JPG,-74.04,-26.73,11.42,-9.05,-1.02
adeC_AMP9.pdb,adeC_AMP9.JPG,-37.26,-27.87,19.61,1.9,-3.88
adeC_AMP10.pdb,adeC_AMP10.JPG,-31.53,-34.98,20.65,11.79,-9.73
adeC_AMP11.pdb,adeC_AMP11.JPG,-11.09,-26.35,9.89,15.32,-2.37
adeC_AMP12.pdb,adeC_AMP12.JPG,-9.57,-20.1,9.06,3.56,-0.78
adeC_AMP13.pdb,adeC_AMP13.JPG,-5.31,-23.92,6.38,3.17,-1.04
adeC_AMP14.pdb,adeC_AMP14.JPG,2.68,-3.82,0.33,0.71,0
adeC_AMP15.pdb,adeC_AMP15.JPG,-17.89,-17.35,8.43,2.02,-0.26
adeC_AMP16.pdb,adeC_AMP16.JPG,-33.85,-21.87,2.53,10.2,-4.47
adeC_AMP17.pdb,adeC_AMP17.JPG,-40.1,-38.03,22.27,4.7,-3.37
adeC_AMP18.pdb,adeC_AMP18.JPG,-16.21,-30.06,25.87,1.31,-2.54
adeC_AMP19.pdb,adeC_AMP19.JPG,-7.61,-26.16,18.82,5.64,-1.14
adeC_AMP20.pdb,adeC_AMP20.JPG,-1.26,-19.97,9.14,7.69,-0.91
adeC_AMP21.pdb,adeC_AMP21.JPG,-12.89,-21.85,12.32,-0.03,-5.54
adeC_AMP22.pdb,adeC_AMP22.JPG,2.55,-2.57,0,-0.24,0
adeC_AMP23.pdb,adeC_AMP23.JPG,-12.46,-7.26,2.66,-4.67,-0.25
adeC_AMP24.pdb,adeC_AMP24.JPG,-21.29,-20.99,7.11,1.64,-0.46
adeC_AMP25.pdb,adeC_AMP25.JPG,-37.84,-33.9,18.18,2.46,-5.22
adeC_AMP26.pdb,adeC_AMP26.JPG,-36.17,-29.44,12.13,0.33,-1.96
adeC_AMP27.pdb,adeC_AMP27.JPG,-2.45,-30.37,15.36,18.38,-2.94
adeC_AMP28.pdb,adeC_AMP28.JPG,-15.02,-20.29,8.58,14.25,-4.91
adeC_AMP29.pdb,adeC_AMP29.JPG,0.39,-33.36,17.62,20.82,-5.64
adeC_AMP30.pdb,adeC_AMP30.JPG,-0.59,-9.22,0.76,4.15,-1.74
adeR_AMP1.pdb,adeR_AMP1.JPG,-28.04,-21.8,20.64,-7.72,-1.5
adeR_AMP2.pdb,adeR_AMP2.JPG,-39.48,-25.71,9.68,-7.56,-0.71
adeR_AMP3.pdb,adeR_AMP3.JPG,-27.02,-23.71,8.64,-4,-1.54
adeR_AMP4.pdb,adeR_AMP4.JPG,-13.5,-28.01,15.25,13.57,-2.72
adeR_AMP5.pdb,adeR_AMP5.JPG,-32.18,-24.68,10.66,1.82,-0.47
adeR_AMP6.pdb,adeR_AMP6.JPG,-26.38,-25.39,7.54,-0.99,-0.94
adeR_AMP7.pdb,adeR_AMP7.JPG,-20.75,-22.92,6.69,1.81,-0.88
adeR_AMP8.pdb,adeR_AMP8.JPG,-34.4,-22.26,14.09,-6.52,0
adeR_AMP9.pdb,adeR_AMP9.JPG,-39.19,-30.12,39.65,-10.19,-1
adeR_AMP10.pdb,adeR_AMP10.JPG,-0.8,-5.7,2.58,4.28,0
adeR_AMP11.pdb,adeR_AMP11.JPG,-34.27,-32.13,20.47,-3.84,-4.26
adeR_AMP12.pdb,adeR_AMP12.JPG,-20.42,-22.46,14.98,-2.04,-3.04
adeR_AMP13.pdb,adeR_AMP13.JPG,-6.7,-16.42,3.99,5.27,-0.28
adeR_AMP14.pdb,adeR_AMP14.JPG,-0.54,-19.47,5.02,8.55,-0.37
adeR_AMP15.pdb,adeR_AMP15.JPG,-17.81,-17.81,3.39,4.77,-1.56
adeR_AMP16.pdb,adeR_AMP16.JPG,1.78,-33.29,57.87,2.89,-3.29
adeR_AMP17.pdb,adeR_AMP17.JPG,-23.47,-19.88,6.88,-4.36,-1.46
adeR_AMP18.pdb,adeR_AMP18.JPG,-17.56,-28.76,14.18,-0.04,-2.12
adeR_AMP19.pdb,adeR_AMP19.JPG,-15.51,-20.62,9.01,5.7,-3.92
adeR_AMP20.pdb,adeR_AMP20.JPG,-1.09,-13.74,2.87,1.53,-1.23
adeR_AMP21.pdb,adeR_AMP21.JPG,-19.2,-33.06,29.59,3.06,-1.85
adeR_AMP22.pdb,adeR_AMP22.JPG,12.8,-1.32,0,3.01,0
adeR_AMP23.pdb,adeR_AMP23.JPG,-15.69,-15.58,13.42,-5.36,-0.94
adeR_AMP24.pdb,adeR_AMP24.JPG,-37.89,-20.3,7.97,-8.8,0
adeR_AMP25.pdb,adeR_AMP25.JPG,-30.8,-20.73,18.06,-11.94,-0.24
adeR_AMP26.pdb,adeR_AMP26.JPG,-24.53,-52.26,33.51,-6.93,-2.42
adeR_AMP27.pdb,adeR_AMP27.JPG,9.99,-1.01,0.46,1.51,0
adeR_AMP28.pdb,adeR_AMP28.JPG,-31.51,-31.6,19.65,-5.33,-4.66
adeR_AMP29.pdb,adeR_AMP29.JPG,-21.49,-21.92,14.05,1.33,-0.72
adeR_AMP30.pdb,adeR_AMP30.JPG,-34.67,-24.47,15.9,-6.49,-2.57
adeS_AMP1.pdb,adeS_AMP1.JPG,-27.54,-20.16,10.23,1,-1.77
adeS_AMP2.pdb,adeS_AMP2.JPG,-6.09,-26.52,12.48,15.26,-2.31
adeS_AMP3.pdb,adeS_AMP3.JPG,-47.56,-22.64,3.68,-10.35,-0.28
adeS_AMP4.pdb,adeS_AMP4.JPG,-20.06,-5.46,2.34,-3.65,-0.23
adeS_AMP5.pdb,adeS_AMP5.JPG,-45.73,-26.71,14.49,-4.69,-2.29
adeS_AMP6.pdb,adeS_AMP6.JPG,-53.25,-27.59,12.41,-5.76,-1.14
adeS_AMP7.pdb,adeS_AMP7.JPG,-26.81,-23.52,18.63,-2.71,-1.5
adeS_AMP8.pdb,adeS_AMP8.JPG,-35.03,-22.34,32.57,-10.77,-0.76
adeS_AMP9.pdb,adeS_AMP9.JPG,-23.7,-28.73,11.52,4.82,-5.49
adeS_AMP10.pdb,adeS_AMP10.JPG,-14.77,-28.24,27.45,2.93,-1.86
adeS_AMP11.pdb,adeS_AMP11.JPG,-38.75,-33.49,41.6,-5.54,-3.3
adeS_AMP12.pdb,adeS_AMP12.JPG,-28.38,-20.04,9.15,-5.94,-1.17
adeS_AMP13.pdb,adeS_AMP13.JPG,-42.81,-29.99,25.33,-12.56,-1.06
adeS_AMP14.pdb,adeS_AMP14.JPG,-36.02,-26.64,13.45,7.23,-0.75
adeS_AMP15.pdb,adeS_AMP15.JPG,-21.54,-20.75,5.49,3.65,0
adeS_AMP16.pdb,adeS_AMP16.JPG,-15.15,-31.75,5.58,17.04,-2.46
adeS_AMP17.pdb,adeS_AMP17.JPG,0.88,-30.4,54.35,11.06,-4.22
adeS_AMP18.pdb,adeS_AMP18.JPG,-41.02,-27.92,14.74,3.71,0
adeS_AMP19.pdb,adeS_AMP19.JPG,-0.86,-34.75,21.87,9.34,-3.13
adeS_AMP20.pdb,adeS_AMP20.JPG,-62,-37.89,9.25,7.86,-2.3
adeS_AMP21.pdb,adeS_AMP21.JPG,-37.42,-26.83,19.08,4.43,-1.31
adeS_AMP22.pdb,adeS_AMP22.JPG,-5.77,-21.54,5.26,3.79,-1.11
adeS_AMP23.pdb,adeS_AMP23.JPG,-42.44,-23.5,7.54,-5.4,-1.43
adeS_AMP24.pdb,adeS_AMP24.JPG,-58.06,-27.85,22.54,-15.55,-1.77
adeS_AMP25.pdb,adeS_AMP25.JPG,-8.09,-7.65,1.32,-0.13,-0.96
adeS_AMP26.pdb,adeS_AMP26.JPG,-16.76,-28.72,24.1,-1.71,-3.32
adeS_AMP27.pdb,adeS_AMP27.JPG,-12.49,-32.01,15.45,16.68,-1.98
adeS_AMP28.pdb,adeS_AMP28.JPG,-27.84,-22.62,21.5,-3.95,-3.25
adeS_AMP29.pdb,adeS_AMP29.JPG,-29.71,-27.32,23.21,3.83,-4.36
adeS_AMP30.pdb,adeS_AMP30.JPG,-43.36,-32.97,9.38,6.41,-2.83
ampC_AMP1.pdb,ampC_AMP1.JPG,-32.69,-28.94,6.93,3.24,-3.39
ampC_AMP2.pdb,ampC_AMP2.JPG,-40.93,-33.09,17.12,2.07,-0.24
ampC_AMP3.pdb,ampC_AMP3.JPG,-57.37,-20.81,12.13,-18.52,0
ampC_AMP4.pdb,ampC_AMP4.JPG,-35.93,-41.2,24.28,-7.65,-2.56
ampC_AMP5.pdb,ampC_AMP5.JPG,-42.26,-29.04,22.03,-5.69,-3.23
ampC_AMP6.pdb,ampC_AMP6.JPG,-32.32,-23.12,11.54,-6.18,-1.94
ampC_AMP7.pdb,ampC_AMP7.JPG,-64.12,-58.89,35.31,-16.13,-3.13
ampC_AMP8.pdb,ampC_AMP8.JPG,-32.94,-14.46,6.19,-8,-1.3
ampC_AMP9.pdb,ampC_AMP9.JPG,-42.82,-27.82,21.01,-10.94,-4.15
ampC_AMP10.pdb,ampC_AMP10.JPG,-10.54,-16.74,4.57,0.32,-1.07
ampC_AMP11.pdb,ampC_AMP11.JPG,-14.91,-8.78,3.18,-6.37,0
ampC_AMP12.pdb,ampC_AMP12.JPG,0.85,-20.03,7.3,4.74,-2.05
ampC_AMP13.pdb,ampC_AMP13.JPG,-12.15,-34.13,17.91,4.69,-2.8
ampC_AMP14.pdb,ampC_AMP14.JPG,9.99,-15.13,11.44,8.41,-1.62
ampC_AMP15.pdb,ampC_AMP15.JPG,-36.17,-26.91,14.31,-3.07,-2.4
ampC_AMP16.pdb,ampC_AMP16.JPG,-40.02,-38.89,48.48,0.62,-4
ampC_AMP17.pdb,ampC_AMP17.JPG,-7.76,-14.8,17.5,6.85,-2.84
ampC_AMP18.pdb,ampC_AMP18.JPG,-27.08,-24,18.99,-1.18,-1.65
ampC_AMP19.pdb,ampC_AMP19.JPG,-24.67,-21.69,6.79,1.28,-1.64
ampC_AMP20.pdb,ampC_AMP20.JPG,10.69,-1.48,2.57,0.89,-0.32
ampC_AMP21.pdb,ampC_AMP21.JPG,-8.07,-4.32,0.48,-0.7,0
ampC_AMP22.pdb,ampC_AMP22.JPG,2.53,-22.3,9.35,13.68,-5.56
ampC_AMP23.pdb,ampC_AMP23.JPG,-30.04,-21.33,16.33,-1,-3.95
ampC_AMP24.pdb,ampC_AMP24.JPG,-35.35,-26.78,12.58,-2.59,-3.27
ampC_AMP25.pdb,ampC_AMP25.JPG,-31.05,-21.36,25.47,-7.85,-6.68
ampC_AMP26.pdb,ampC_AMP26.JPG,-56.55,-33.79,36.76,-20.76,-7.07
ampC_AMP27.pdb,ampC_AMP27.JPG,-1.68,-31.54,10.28,13.84,-4.78
ampC_AMP28.pdb,ampC_AMP28.JPG,-21.98,-28.27,13.53,4.77,-2.5
ampC_AMP29.pdb,ampC_AMP29.JPG,-47.28,-35.56,31.7,-0.37,-5.11
ampC_AMP30.pdb,ampC_AMP30.JPG,-0.71,-5.44,0.45,5.37,-1.9
baeR_AMP1.pdb,baeR_AMP1.JPG,-21.75,-21.9,10.33,-1.03,-1.98
baeR_AMP2.pdb,baeR_AMP2.JPG,-22.09,-22.09,14.31,15.15,-3.18
baeR_AMP3.pdb,baeR_AMP3.JPG,-37.67,-27.89,10.22,5.54,-1.7
baeR_AMP4.pdb,baeR_AMP4.JPG,-26.96,-29.97,22.56,5.72,-2.52
baeR_AMP5.pdb,baeR_AMP5.JPG,-29.32,-31.85,16.49,7.19,-3.13
baeR_AMP6.pdb,baeR_AMP6.JPG,-36.83,-25.66,7.31,3.76,-2.82
baeR_AMP7.pdb,baeR_AMP7.JPG,-23.71,-32.71,9.08,15.62,-5.37
baeR_AMP8.pdb,baeR_AMP8.JPG,-53.66,-29.21,15.85,-5.7,-2.06
baeR_AMP9.pdb,baeR_AMP9.JPG,-15.98,-34.26,22.14,7.1,-1.37
baeR_AMP10.pdb,baeR_AMP10.JPG,-6.42,-37.47,24.72,12.32,-3.16
baeR_AMP11.pdb,baeR_AMP11.JPG,-24.57,-27.33,10.24,13.04,-2.51
baeR_AMP12.pdb,baeR_AMP12.JPG,-9.31,-34.34,17.5,20.19,-5.85
baeR_AMP13.pdb,baeR_AMP13.JPG,-23.48,-32.23,14.12,11.72,-6.72
baeR_AMP14.pdb,baeR_AMP14.JPG,2.3,-8.51,2,6.09,-2.03
baeR_AMP15.pdb,baeR_AMP15.JPG,-45.09,-25.88,17.34,-0.31,-1.53
baeR_AMP16.pdb,baeR_AMP16.JPG,35.12,-34.46,31.54,19.84,-2.28
baeR_AMP17.pdb,baeR_AMP17.JPG,-47.14,-31.09,12.2,8.92,-1.85
baeR_AMP18.pdb,baeR_AMP18.JPG,-40.44,-32.77,10.68,7.42,-2.86
baeR_AMP19.pdb,baeR_AMP19.JPG,-3.12,-2.68,1.05,-0.67,0
baeR_AMP20.pdb,baeR_AMP20.JPG,1.98,-0.05,0,-0.02,0
baeR_AMP21.pdb,baeR_AMP21.JPG,-24.91,-33.02,6.4,13.04,-3.84
baeR_AMP22.pdb,baeR_AMP22.JPG,-21.62,-21.77,7.25,12.58,-2.25
baeR_AMP23.pdb,baeR_AMP23.JPG,-58.69,-23.57,14.59,-3.38,-2.11
baeR_AMP24.pdb,baeR_AMP24.JPG,-30.15,-34.32,46,-0.89,-2.81
baeR_AMP25.pdb,baeR_AMP25.JPG,-28.42,-38.52,50.36,-4.82,-3.91
baeR_AMP26.pdb,baeR_AMP26.JPG,-15.58,-31.22,21.28,8.18,-4.86
baeR_AMP27.pdb,baeR_AMP27.JPG,-1.39,-35.9,23.27,13.76,-8.79
baeR_AMP28.pdb,baeR_AMP28.JPG,-28.71,-32.15,17.19,17.97,-5.54
baeR_AMP29.pdb,baeR_AMP29.JPG,-22.57,-36.32,31.27,9.45,-8.34
baeR_AMP30.pdb,baeR_AMP30.JPG,-19.99,-33.63,32.69,8.6,-1.45
baeS_AMP1.pdb,baeS_AMP1.JPG,-22.36,-27.03,8.79,7.6,-1.92
baeS_AMP2.pdb,baeS_AMP2.JPG,-13.04,-17.01,1.62,-0.49,-0.99
baeS_AMP3.pdb,baeS_AMP3.JPG,-38.86,-33.57,18.56,2.76,-1.51
baeS_AMP4.pdb,baeS_AMP4.JPG,-12.88,-12.14,3.13,-4.28,-0.52
baeS_AMP5.pdb,baeS_AMP5.JPG,-10.46,-30.05,23.17,4.18,-3.88
baeS_AMP6.pdb,baeS_AMP6.JPG,-10.86,-6.05,3.39,0.44,-1
baeS_AMP7.pdb,baeS_AMP7.JPG,-20.63,-11.79,3.27,-6.62,0
baeS_AMP8.pdb,baeS_AMP8.JPG,-62.09,-26.24,17.48,-6.94,-1.25
baeS_AMP9.pdb,baeS_AMP9.JPG,-18.92,-35.63,25.04,4.68,-0.97
baeS_AMP10.pdb,baeS_AMP10.JPG,0.97,-4.2,2.34,2.93,-1.3
baeS_AMP11.pdb,baeS_AMP11.JPG,-6.99,-1.97,0.2,0.47,-0.22
baeS_AMP12.pdb,baeS_AMP12.JPG,-25.2,-32.05,17.73,1.93,-1.98
baeS_AMP13.pdb,baeS_AMP13.JPG,-29.64,-20.8,15.8,-1.76,-0.97
baeS_AMP14.pdb,baeS_AMP14.JPG,-7.11,-8.18,4.56,-0.85,-3.91
baeS_AMP15.pdb,baeS_AMP15.JPG,2.42,-19.73,12.79,2.43,-1.32
baeS_AMP16.pdb,baeS_AMP16.JPG,-48.26,-24.56,8.75,-8.37,-0.43
baeS_AMP17.pdb,baeS_AMP17.JPG,-15.13,-16.32,8.55,-0.71,0
baeS_AMP18.pdb,baeS_AMP18.JPG,-8.58,-15.77,5.57,1.96,-1.02
baeS_AMP19.pdb,baeS_AMP19.JPG,-1,-1.32,0,2.36,0
baeS_AMP20.pdb,baeS_AMP20.JPG,-17.43,-19.93,10.84,1.41,-1.33
baeS_AMP21.pdb,baeS_AMP21.JPG,-21.25,-22.75,1.15,11.99,-0.22
baeS_AMP22.pdb,baeS_AMP22.JPG,-25.95,-27.65,16.62,6.3,-1.92
baeS_AMP23.pdb,baeS_AMP23.JPG,-25.37,-24.64,10.38,-7.21,-2.03
baeS_AMP24.pdb,baeS_AMP24.JPG,-16.41,-32.71,29.01,5.71,-2.75
baeS_AMP25.pdb,baeS_AMP25.JPG,-1.59,-26.28,13.21,6.07,-4.02
baeS_AMP26.pdb,baeS_AMP26.JPG,-32.37,-21.55,4.01,-1.89,-0.55
baeS_AMP27.pdb,baeS_AMP27.JPG,1.64,-33.03,16.89,7.71,-3.87
baeS_AMP28.pdb,baeS_AMP28.JPG,-28.67,-19.16,10.33,-3.2,-1.8
baeS_AMP29.pdb,baeS_AMP29.JPG,-14.84,-26.56,11.91,2.55,-4.66
baeS_AMP30.pdb,baeS_AMP30.JPG,-27.46,-24.8,8.45,2.66,-0.46
bfmR_AMP1.pdb,bfmR_AMP1.JPG,-19.2,-30.38,46.5,-5.47,-1.8
bfmR_AMP2.pdb,bfmR_AMP2.JPG,-18.81,-22.95,13.48,2.69,-1.64
bfmR_AMP3.pdb,bfmR_AMP3.JPG,-3.55,-1.44,0,2.38,0
bfmR_AMP4.pdb,bfmR_AMP4.JPG,-3.55,-1.44,0,2.38,0
bfmR_AMP5.pdb,bfmR_AMP5.JPG,-30.92,-30.21,26.51,-3.27,-1.59
bfmR_AMP6.pdb,bfmR_AMP6.JPG,-21.59,-23.2,12.45,3.71,-2.36
bfmR_AMP7.pdb,bfmR_AMP7.JPG,-24.51,-21.66,16.25,1.15,-1.69
bfmR_AMP8.pdb,bfmR_AMP8.JPG,-45.71,-31.57,30.26,-9.37,-0.62
bfmR_AMP9.pdb,bfmR_AMP9.JPG,-12.54,-25.84,10.7,0.94,-1.2
bfmR_AMP10.pdb,bfmR_AMP10.JPG,-6.94,-20.27,5.42,3.03,-1.5
bfmR_AMP11.pdb,bfmR_AMP11.JPG,-6.09,-14.88,1.12,5.59,-2.29
bfmR_AMP12.pdb,bfmR_AMP12.JPG,-34.86,-31.04,13.21,4.18,-5.32
bfmR_AMP13.pdb,bfmR_AMP13.JPG,-6.99,-23.76,37.73,5.86,-2.94
bfmR_AMP14.pdb,bfmR_AMP14.JPG,-8.63,-25.76,14.92,3.44,0
bfmR_AMP15.pdb,bfmR_AMP15.JPG,-34.52,-29.38,13.01,4.64,-4.27
bfmR_AMP16.pdb,bfmR_AMP16.JPG,-30.56,-24.8,13.52,6.83,-2.62
bfmR_AMP17.pdb,bfmR_AMP17.JPG,-32.01,-31.57,23.63,3.72,-3.35
bfmR_AMP18.pdb,bfmR_AMP18.JPG,-22.08,-29.63,9.65,-0.32,-1.59
bfmR_AMP19.pdb,bfmR_AMP19.JPG,-18.12,-21.72,7.58,9.63,-0.93
bfmR_AMP20.pdb,bfmR_AMP20.JPG,3.95,-4,0.71,1.3,0
bfmR_AMP21.pdb,bfmR_AMP21.JPG,-28.13,-26.65,14.75,5.67,-7.62
bfmR_AMP22.pdb,bfmR_AMP22.JPG,-15.34,-19.41,6.31,5.44,-2.64
bfmR_AMP23.pdb,bfmR_AMP23.JPG,-37.93,-29.19,20.91,2.46,-2.28
bfmR_AMP24.pdb,bfmR_AMP24.JPG,-36.14,-19.93,6.12,-4.08,-0.79
bfmR_AMP25.pdb,bfmR_AMP25.JPG,-29.47,-25.37,12.12,-4.23,-2.12
bfmR_AMP26.pdb,bfmR_AMP26.JPG,-46.13,-29.04,19.27,-4.35,-2.22
bfmR_AMP27.pdb,bfmR_AMP27.JPG,-16.21,-12.14,4.25,6.25,-3.27
bfmR_AMP28.pdb,bfmR_AMP28.JPG,-41.98,-17.72,4.63,-7.24,-2.06
bfmR_AMP29.pdb,bfmR_AMP29.JPG,-9.75,-33.68,12.56,12.39,-4.05
bfmR_AMP30.pdb,bfmR_AMP30.JPG,-26.79,-25.16,11.75,6.23,-0.52
smpA_AMP1.pdb,smpA_AMP1.JPG,-54.5,-26.43,10,-14.74,0
smpA_AMP2.pdb,smpA_AMP2.JPG,-49.96,-13.56,3.5,-10.74,-0.5
smpA_AMP3.pdb,smpA_AMP3.JPG,-83.57,-21.15,7.91,-21.57,-0.72
smpA_AMP4.pdb,smpA_AMP4.JPG,-59.03,-23.97,14.62,-12.9,-0.88
smpA_AMP5.pdb,smpA_AMP5.JPG,-48.01,-25.3,16.44,-13.73,0
smpA_AMP6.pdb,smpA_AMP6.JPG,-57.47,-27.6,12.66,-14.53,0
smpA_AMP7.pdb,smpA_AMP7.JPG,-43.23,-28.25,25.11,-13.4,-0.66
smpA_AMP8.pdb,smpA_AMP8.JPG,-78.74,-27.15,17.47,-15.53,-2.01
smpA_AMP9.pdb,smpA_AMP9.JPG,-46.86,-34.29,23.94,-11.92,-1.42
smpA_AMP10.pdb,smpA_AMP10.JPG,-37.35,-25.16,16.09,-9.37,-1.31
smpA_AMP11.pdb,smpA_AMP11.JPG,-19.21,-30.01,16.87,-2.18,-1.73
smpA_AMP12.pdb,smpA_AMP12.JPG,-82.37,-31.58,11.68,-10.89,-2.29
smpA_AMP13.pdb,smpA_AMP13.JPG,-34.83,-25.93,9,-4.7,-0.94
smpA_AMP14.pdb,smpA_AMP14.JPG,-74.42,-22.33,6.67,-7.26,-1.8
smpA_AMP15.pdb,smpA_AMP15.JPG,-57.36,-23.51,14.85,-13.67,-1.18
smpA_AMP16.pdb,smpA_AMP16.JPG,-77.58,-26.7,17.91,-10.24,0
smpA_AMP17.pdb,smpA_AMP17.JPG,-19.56,-11.16,2.28,-0.28,0
smpA_AMP18.pdb,smpA_AMP18.JPG,-75.02,-33.65,25.08,-26.87,-2.32
smpA_AMP19.pdb,smpA_AMP19.JPG,-33.38,-22.79,15.78,-4.63,-2.44
smpA_AMP20.pdb,smpA_AMP20.JPG,-38.79,-22.84,19.79,-5.84,-2.18
smpA_AMP21.pdb,smpA_AMP21.JPG,-19.48,-19.68,8.06,-0.6,-0.83
smpA_AMP22.pdb,smpA_AMP22.JPG,-45.82,-27.57,13.33,-5.19,-0.64
smpA_AMP23.pdb,smpA_AMP23.JPG,-99.81,-26.14,9.28,-22.4,-1.41
smpA_AMP24.pdb,smpA_AMP24.JPG,-65.71,-20.82,9.28,-19.58,0
smpA_AMP25.pdb,smpA_AMP25.JPG,-58.62,-27.43,9.33,-13.35,-2.22
smpA_AMP26.pdb,smpA_AMP26.JPG,-72.55,-34.27,18.49,-19.79,-3.26
smpA_AMP27.pdb,smpA_AMP27.JPG,-6.73,-30.11,13.89,2.65,-0.48
smpA_AMP28.pdb,smpA_AMP28.JPG,-45.03,-30.18,18.37,-12.87,-1.45
smpA_AMP29.pdb,smpA_AMP29.JPG,-34.22,-28.72,11.1,-2.04,-1.67
smpA_AMP30.pdb,smpA_AMP30.JPG,-47.84,-22.37,5.08,-8.96,-0.78
cm1A_AMP1.pdb,cm1A_AMP1.JPG,-13.06,-6.76,4.11,-4.85,0
cm1A_AMP2.pdb,cm1A_AMP2.JPG,-24.58,-30.58,14.23,1.1,-3.95
cm1A_AMP3.pdb,cm1A_AMP3.JPG,-44.82,-33.24,22.35,-4.62,-2.64
cm1A_AMP4.pdb,cm1A_AMP4.JPG,-23.66,-28.89,24.28,4.7,-5.4
cm1A_AMP5.pdb,cm1A_AMP5.JPG,-6.58,-20.98,9.82,2.89,0
cm1A_AMP6.pdb,cm1A_AMP6.JPG,-13.78,-41.74,31.52,8.9,-4.96
cm1A_AMP7.pdb,cm1A_AMP7.JPG,9.98,-1.24,0.91,1.12,0
cm1A_AMP8.pdb,cm1A_AMP8.JPG,-49.64,-40.06,30.87,-8.36,-2.54
cm1A_AMP9.pdb,cm1A_AMP9.JPG,0.89,-0.71,0,-0.94,0
cm1A_AMP10.pdb,cm1A_AMP10.JPG,-10.36,-28.03,21.66,13.37,-1.68
cm1A_AMP11.pdb,cm1A_AMP11.JPG,-1.13,-1.02,0,-1,0
cm1A_AMP12.pdb,cm1A_AMP12.JPG,9.9,-0.03,0,0.24,0
cm1A_AMP13.pdb,cm1A_AMP13.JPG,-17.9,-8.11,4.87,0.64,-1.69
cm1A_AMP14.pdb,cm1A_AMP14.JPG,-3.44,-6.37,1.48,2.26,-1.25
cm1A_AMP15.pdb,cm1A_AMP15.JPG,-9.1,-26.33,25.08,7.78,-1.2
cm1A_AMP16.pdb,cm1A_AMP16.JPG,-14.92,-21.67,15.07,4.77,-2.17
cm1A_AMP17.pdb,cm1A_AMP17.JPG,-10.22,-1.16,0,0.98,-1.16
cm1A_AMP18.pdb,cm1A_AMP18.JPG,-8.32,-5.08,2.42,-4.44,0
cm1A_AMP19.pdb,cm1A_AMP19.JPG,1.32,-2.7,0.54,-0.34,0
cm1A_AMP20.pdb,cm1A_AMP20.JPG,-3.47,-2.46,0.34,-1.39,0
cm1A_AMP21.pdb,cm1A_AMP21.JPG,-32.72,-47.7,21.36,5.65,-6.51
cm1A_AMP22.pdb,cm1A_AMP22.JPG,-3.96,-14.9,1.37,9.44,-0.35
cm1A_AMP23.pdb,cm1A_AMP23.JPG,-32.59,-42.34,39.31,-8.14,-5.39
cm1A_AMP24.pdb,cm1A_AMP24.JPG,-55.26,-38.08,29.71,-13.12,-1.7
cm1A_AMP25.pdb,cm1A_AMP25.JPG,-33.33,-19.72,10.03,-6.44,-1.68
cm1A_AMP26.pdb,cm1A_AMP26.JPG,-13.89,-8.96,1.62,-2.69,-1.85
cm1A_AMP27.pdb,cm1A_AMP27.JPG,-9.1,-4.17,1.26,2.55,-2.6
cm1A_AMP28.pdb,cm1A_AMP28.JPG,-39.17,-22.76,6.59,-0.67,-3.02
cm1A_AMP29.pdb,cm1A_AMP29.JPG,-11.2,-25.55,9.41,9.1,-4.09
cm1A_AMP30.pdb,cm1A_AMP30.JPG,-2.74,-4.18,2.04,0.56,-0.77
strA_AMP1.pdb,strA_AMP1.JPG,-23.07,-13.7,2,-1.75,0
strA_AMP2.pdb,strA_AMP2.JPG,-34.76,-23.42,12.05,-0.38,-2.1
strA_AMP3.pdb,strA_AMP3.JPG,-32.89,-23.4,27.53,-11.81,0
strA_AMP4.pdb,strA_AMP4.JPG,-32.13,-32.58,10.17,3.93,-3.73
strA_AMP5.pdb,strA_AMP5.JPG,-29.42,-27.92,14.16,2.69,-3.19
strA_AMP6.pdb,strA_AMP6.JPG,-28.7,-28.32,8.04,3.68,-2.35
strA_AMP7.pdb,strA_AMP7.JPG,-32.93,-30.96,16.7,-3.7,-1.76
strA_AMP8.pdb,strA_AMP8.JPG,-35.55,-29.58,32.24,-4.53,-1.21
