Dock,Image,Attractive_VdW,Global_Energy,Repulsive_VdW,ACE,HB
fimH_AMP1.pdb,fimH_AMP1.JPG,-19.44,-5.08,10.84,-0.36,-2.15
fimH_AMP2.pdb,fimH_AMP2.JPG,-31.43,-32.39,26.83,-4.76,-2.79
fimH_AMP3.pdb,fimH_AMP3.JPG,-26.97,-39.55,13.29,-3.7,-0.22
fimH_AMP4.pdb,fimH_AMP4.JPG,-23.55,-15.39,9.72,6.67,-2.31
fimH_AMP5.pdb,fimH_AMP5.JPG,-23.18,-26.17,9.82,0.19,-2.27
fimH_AMP6.pdb,fimH_AMP6.JPG,-20.49,-37.12,11.14,-9.3,-1.97
fimH_AMP7.pdb,fimH_AMP7.JPG,-26.89,-11.64,11.21,4.15,-4.25
fimH_AMP8.pdb,fimH_AMP8.JPG,-14.36,-32.86,6.89,-5.52,-0.34
fimH_AMP9.pdb,fimH_AMP9.JPG,-33,-31.1,26.69,-4.29,-2.05
fimH_AMP10.pdb,fimH_AMP10.JPG,-28.39,-6.91,9.89,6.84,-3.47
fimH_AMP11.pdb,fimH_AMP11.JPG,-23.72,-13.22,5.72,2.82,-5.94
fimH_AMP12.pdb,fimH_AMP12.JPG,-30.5,-26.75,29.29,-7.95,-2.77
fimH_AMP13.pdb,fimH_AMP13.JPG,-24.3,-29.66,14.21,-5.5,-3.08
fimH_AMP14.pdb,fimH_AMP14.JPG,-22.04,-21.33,7.52,-1.12,-3.59
fimH_AMP15.pdb,fimH_AMP15.JPG,-23.59,-37.92,13.3,-6.43,-0.78
fimH_AMP16.pdb,fimH_AMP16.JPG,-34.39,-47.85,19.87,-6.02,-3.34
fimH_AMP17.pdb,fimH_AMP17.JPG,-20.2,-6.88,11,5.61,-2.33
fimH_AMP18.pdb,fimH_AMP18.JPG,-23.45,-11.46,11.59,8.54,-2.24
fimH_AMP19.pdb,fimH_AMP19.JPG,-2.29,-0.92,0.1,0.82,0.1
fimH_AMP20.pdb,fimH_AMP20.JPG,-22.85,-17.7,18.85,-3.07,-0.7
fimH_AMP21.pdb,fimH_AMP21.JPG,-34.36,-7.11,13.05,14.38,-1.44
fimH_AMP22.pdb,fimH_AMP22.JPG,-32.1,-55.35,22.81,-2.27,-6.02
fimH_AMP23.pdb,fimH_AMP23.JPG,-22.51,-43.94,15.78,-15.62,-0.68
fimH_AMP24.pdb,fimH_AMP24.JPG,-19.73,-37.79,9.05,-6.25,-0.45
fimH_AMP25.pdb,fimH_AMP25.JPG,-34.33,-33.04,24.65,-4.77,-8.24
fimH_AMP26.pdb,fimH_AMP26.JPG,-24.14,-33.59,8.64,-1.08,-2.49
fimH_AMP27.pdb,fimH_AMP27.JPG,-23.21,6.91,7.04,7.99,-3.11
fimH_AMP28.pdb,fimH_AMP28.JPG,-29.98,-28.48,18.94,-3.82,-3.99
fimH_AMP29.pdb,fimH_AMP29.JPG,-19.85,-24.26,8.4,3.24,-5.32
fimH_AMP30.pdb,fimH_AMP30.JPG,-4.63,-6.13,1.63,-3.14,-0.29
LptD_AMP1.pdb,LptD_AMP1.JPG,-6.76,-13.06,4.11,-4.85,0.1
LptD_AMP2.pdb,LptD_AMP2.JPG,-30.58,-24.58,14.23,1.1,-3.95
LptD_AMP3.pdb,LptD_AMP3.JPG,-33.24,-44.82,22.35,-4.62,-2.64
LptD_AMP4.pdb,LptD_AMP4.JPG,-28.89,-23.66,24.28,4.7,-5.4
LptD_AMP5.pdb,LptD_AMP5.JPG,-20.98,-6.58,9.82,2.89,0
LptD_AMP6.pdb,LptD_AMP6.JPG,-41.74,-13.78,31.52,8.9,-4.96
LptD_AMP7.pdb,LptD_AMP7.JPG,-1.24,9.98,0.91,1.12,0.1
LptD_AMP8.pdb,LptD_AMP8.JPG,-40.06,-49.64,30.87,-8.36,-2.54
LptD_AMP9.pdb,LptD_AMP9.JPG,-0.71,0.89,0.1,-0.94,0.1
LptD_AMP10.pdb,LptD_AMP10.JPG,-28.03,-10.36,21.66,13.37,-1.68
LptD_AMP11.pdb,LptD_AMP11.JPG,-1.02,-1.13,0.1,-1,0.1
LptD_AMP12.pdb,LptD_AMP12.JPG,-0.03,9.9,0.1,0.24,0.1
LptD_AMP13.pdb,LptD_AMP13.JPG,-8.11,-17.9,4.87,0.64,-1.69
LptD_AMP14.pdb,LptD_AMP14.JPG,-6.37,-3.44,1.48,2.26,-1.25
LptD_AMP15.pdb,LptD_AMP15.JPG,-26.33,-9.1,25.08,7.78,-1.2
LptD_AMP16.pdb,LptD_AMP16.JPG,-21.67,-14.92,15.07,4.77,-2.17
LptD_AMP17.pdb,LptD_AMP17.JPG,-1.16,-10.22,0.1,0.98,-1.16
LptD_AMP18.pdb,LptD_AMP18.JPG,-5.08,-8.32,2.42,-4.44,0.1
LptD_AMP19.pdb,LptD_AMP19.JPG,-2.7,1.32,0.54,-0.34,0.1
LptD_AMP20.pdb,LptD_AMP20.JPG,-2.46,-3.47,0.34,-1.39,0.1
LptD_AMP21.pdb,LptD_AMP21.JPG,-47.7,-32.72,21.36,5.65,-6.51
LptD_AMP22.pdb,LptD_AMP22.JPG,-14.9,-3.96,1.37,9.44,-0.35
LptD_AMP23.pdb,LptD_AMP23.JPG,-42.34,-32.59,39.31,-8.14,-5.39
LptD_AMP24.pdb,LptD_AMP24.JPG,-38.08,-55.26,29.71,-13.12,-1.7
LptD_AMP25.pdb,LptD_AMP25.JPG,-19.72,-33.33,10.03,-6.44,-1.68
LptD_AMP26.pdb,LptD_AMP26.JPG,-8.96,-13.89,1.62,-2.69,-1.85
LptD_AMP27.pdb,LptD_AMP27.JPG,-4.17,-9.1,1.26,2.55,-2.6
LptD_AMP28.pdb,LptD_AMP28.JPG,-22.76,-39.17,6.59,-0.67,-3.02
LptD_AMP29.pdb,LptD_AMP29.JPG,-25.55,-11.2,9.41,9.1,-4.09
LptD_AMP30.pdb,LptD_AMP30.JPG,-4.18,-2.74,2.04,0.56,-0.77
FBN_AMP1.pdb,FBN_AMP1.JPG,-26.80    ,-41.89  ,14.95     ,-8.91  ,-2.32  
FBN_AMP2.pdb,FBN_AMP2.JPG,-27.02    ,-8.05  ,32.81     ,1.83  ,-1.06  
FBN_AMP3.pdb,FBN_AMP3.JPG,-38.78    ,-16.40  ,66.42     ,-1.11  ,-3.84  
FBN_AMP4.pdb,FBN_AMP4.JPG,-32.96    ,-36.12  ,17.65     ,18.02  ,-6.15  
FBN_AMP5.pdb,FBN_AMP5.JPG,-33.64    ,-32.03  ,28.82     ,7.82  ,-2.86 
FBN_AMP6.pdb,FBN_AMP6.JPG,-39.96    ,-24.02  ,42.50     ,6.24  ,-8.23  
FBN_AMP7.pdb,FBN_AMP7.JPG,-40.25    ,-35.26  ,19.20     ,11.91  ,-2.00  
FBN_AMP8.pdb,FBN_AMP8.JPG,-26.81    ,-59.95  ,10.64     ,-9.25  ,-3.73  
FBN_AMP9.pdb,FBN_AMP9.JPG,-30.71    ,-14.72  ,31.77     ,8.41  ,-4.59
FBN_AMP10.pdb,FBN_AMP10.JPG,-35.11    ,-35.50  ,23.69     ,2.04  ,-8.57  
FBN_AMP11.pdb,FBN_AMP11.JPG,-26.82    ,-27.43  ,8.53     ,7.82  ,-4.27 
